,close,open,low,high,volume
2014-03-08,625.0,656.69,613.45,660.0,21994.62658139
2014-03-09,619.7,623.15,604.5,631.26,7947.67229142
2014-03-10,642.32,619.88,617.84,653.0,10958.359180609998
2014-03-11,628.77,642.32,609.0,643.52,11595.83492697
2014-03-12,637.84,628.77,614.17,656.95,14068.39510619
2014-03-13,640.0,637.84,628.8,646.5,7734.825455419998
2014-03-14,636.39,639.37,632.4,650.0,8269.770402170001
2014-03-15,632.0,636.39,625.29,644.0,7164.32699135
2014-03-16,636.62,632.0,625.51,639.88,2163.21754758
2014-03-17,628.98,636.62,628.98,639.39,3829.56916062
2014-03-18,613.97,629.0,606.62,631.15,12716.56195402
2014-03-19,613.0,613.78,591.13,623.95,12330.392744379997
2014-03-20,602.35,613.0,595.0,619.33,7858.8081388300025
2014-03-21,591.31,602.36,578.1,606.44,12493.739395299996
2014-03-22,567.23,592.62,556.0,607.88,19560.879990110006
2014-03-23,564.67,567.09,541.0,570.0,13565.68881478
2014-03-24,551.02,564.67,547.0,569.48,7393.975688510001
2014-03-25,579.2,551.02,550.5,592.6,13444.11593836
2014-03-26,569.29,576.86,565.0,587.48,8897.047513119998
2014-03-27,562.0,568.22,559.26,592.0,13287.54585628
2014-03-28,517.5,562.0,466.1,563.51,55864.86980946999
2014-03-29,500.73,517.33,485.0,518.46,23458.01072496
2014-03-30,475.43,500.2,472.51,506.41,10441.90494467
2014-03-31,450.7,475.4,436.0,489.87,36742.24169366001
2014-04-01,482.03,450.6,440.27,490.0,19172.598443879997
2014-04-02,476.0,482.03,471.02,509.98,16986.989903330006
2014-04-03,419.0,478.77,416.11,494.98,41203.78211213998
2014-04-04,448.0,419.0,416.98,465.0,23302.89075179
2014-04-05,448.88,447.7,430.79,459.5,12460.96118962
2014-04-06,458.61,447.51,441.25,465.0,5778.1303105900015
2014-04-07,460.0,458.61,450.2,464.19,5473.87910297
2014-04-08,457.0,459.99,446.0,461.17,8138.772700400002
2014-04-09,451.01,457.0,448.0,458.67,5350.3909901900015
2014-04-10,407.0,453.03,400.11,453.96,21224.637533580004
2014-04-11,399.59,406.99,339.79,418.0,58663.69124755
2014-04-12,423.75,400.0,385.83,439.5,23947.37925412
2014-04-13,424.9,424.89,413.72,429.01,5650.56436758
2014-04-14,446.21,424.9,397.16,457.28,22952.2582705
2014-04-15,487.0,446.22,437.82,495.0,28460.06852224
